iter	Logloss
0	0.6864429003
1	0.6794954983
2	0.673205366
3	0.6675018556
4	0.6625282515
5	0.6588383318
6	0.6545815482
7	0.6504847516
8	0.6472051552
9	0.6442201941
10	0.6409371011
11	0.6381900963
12	0.635415373
13	0.6336423185
14	0.6317560423
15	0.6298608601
16	0.6283874431
17	0.6273153648
18	0.6255849007
19	0.6240609965
20	0.6221438766
21	0.6209693716
22	0.6202438044
23	0.6189499813
24	0.6175284347
25	0.6165314972
26	0.6155191456
27	0.614076586
28	0.6129568531
29	0.6123130213
30	0.6115512339
31	0.6107044373
32	0.6095893517
33	0.6087715136
34	0.6078875724
35	0.6072382606
36	0.6062049995
37	0.6055379029
38	0.6049614044
39	0.6041394988
40	0.6029502964
41	0.6019998805
42	0.6016394126
43	0.6012412899
44	0.6007492823
45	0.6003564893
46	0.5994542127
47	0.5988513448
48	0.5982889325
49	0.5980240384
50	0.5975634964
51	0.5970998747
52	0.5967452041
53	0.5961475374
54	0.5958319228
55	0.5953335511
56	0.5951191414
57	0.5946906638
58	0.5939539625
59	0.593132469
60	0.5924700908
61	0.5921483644
62	0.5916900788
63	0.5912140719
64	0.5907886263
65	0.5899859554
66	0.5896638978
67	0.5894863571
68	0.5889662081
69	0.5886106074
70	0.5883306636
71	0.5876888962
72	0.5871336096
73	0.5867275794
74	0.586312364
75	0.5859495544
76	0.585769718
77	0.5856515302
78	0.5853501116
79	0.5847735818
80	0.5843719922
81	0.584141618
82	0.5838235617
83	0.5837053829
84	0.5833965232
85	0.5830755155
86	0.5828713014
87	0.5826605618
88	0.5825241071
89	0.5824327645
90	0.5821631603
91	0.5816789624
92	0.5813868195
93	0.5809252711
94	0.5804885137
95	0.5803630853
96	0.5800317125
97	0.5800098168
98	0.5798995688
99	0.5797358193

7
