iter	Passed	Remaining
0	5	518
1	9	474
2	13	430
3	16	393
4	19	377
5	27	424
6	35	467
7	40	467
8	45	456
9	50	453
10	55	448
11	61	448
12	63	427
13	69	428
14	74	419
15	77	407
16	80	395
17	85	387
18	89	383
19	93	372
20	97	368
21	102	361
22	104	350
23	109	345
24	111	335
25	114	325
26	117	318
27	121	311
28	125	306
29	129	301
30	132	294
31	135	288
32	138	281
33	141	273
34	143	266
35	146	259
36	148	253
37	151	247
38	154	241
39	157	235
40	160	231
41	163	226
42	166	220
43	169	215
44	172	210
45	175	206
46	178	200
47	181	196
48	183	191
49	187	187
50	189	182
51	192	177
52	194	172
53	197	167
54	200	163
55	202	159
56	204	154
57	206	149
58	208	145
59	211	140
60	213	136
61	215	131
62	217	127
63	219	123
64	221	119
65	223	115
66	225	110
67	227	106
68	229	102
69	230	98
70	232	95
71	234	91
72	236	87
73	238	83
74	240	80
75	242	76
76	244	72
77	246	69
78	248	65
79	250	62
80	252	59
81	254	55
82	256	52
83	258	49
84	260	45
85	262	42
86	264	39
87	266	36
88	268	33
89	270	30
90	272	26
91	274	23
92	276	20
93	278	17
94	279	14
95	281	11
96	283	8
97	285	5
98	287	2
99	289	0
94	0
5	4
99	478	0
1	0
